Date : 2021-06-02 09:46:00
Directory : c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA
Total : 71 files,  9111 codes, 440 comments, 833 blanks, all 10384 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         52 |      8,682 |        349 |        773 |      9,804 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| XML        |          7 |        119 |         40 |         14 |        173 |
| Groovy     |          3 |         88 |          3 |         21 |        112 |
| YAML       |          1 |         42 |         47 |          9 |         98 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         71 |      9,111 |        440 |        833 |     10,384 |
| android                                                                                                                           |         10 |        155 |         42 |         35 |        232 |
| android\app                                                                                                                       |          6 |        110 |         41 |         24 |        175 |
| android\app\src                                                                                                                   |          5 |         58 |         38 |         12 |        108 |
| android\app\src\debug                                                                                                             |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                              |          3 |         50 |         32 |         10 |         92 |
| android\app\src\main\res                                                                                                          |          2 |         13 |         16 |          3 |         32 |
| android\app\src\main\res\drawable                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                            |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                               |         51 |      8,668 |        339 |        766 |      9,773 |
| lib\src                                                                                                                           |         50 |      8,623 |        339 |        758 |      9,720 |
| lib\src\components                                                                                                                |          4 |        178 |          0 |         17 |        195 |
| lib\src\models                                                                                                                    |         11 |        700 |         20 |         74 |        794 |
| lib\src\providers                                                                                                                 |          8 |        504 |         56 |        133 |        693 |
| lib\src\screens                                                                                                                   |         26 |      7,241 |        263 |        531 |      8,035 |
| lib\src\screens\auth_screen                                                                                                       |          2 |        204 |          2 |         27 |        233 |
| lib\src\screens\credits_screen                                                                                                    |          2 |         81 |          1 |         13 |         95 |
| lib\src\screens\edit_profile_screen                                                                                               |          2 |         82 |          0 |         11 |         93 |
| lib\src\screens\free_play_screen                                                                                                  |          2 |        568 |         29 |         57 |        654 |
| lib\src\screens\friends_screen                                                                                                    |          2 |        635 |        125 |         49 |        809 |
| lib\src\screens\home_screen                                                                                                       |          2 |        711 |          0 |         51 |        762 |
| lib\src\screens\introduction_screen                                                                                               |          2 |        267 |          5 |         25 |        297 |
| lib\src\screens\multiplayer_end_screen                                                                                            |          2 |         21 |          0 |          5 |         26 |
| lib\src\screens\multiplayer_game_screen                                                                                           |          2 |      1,312 |         20 |         84 |      1,416 |
| lib\src\screens\multiplayer_lobby_screen                                                                                          |          2 |      1,278 |         24 |         71 |      1,373 |
| lib\src\screens\settings_screen                                                                                                   |          2 |      1,361 |         19 |         69 |      1,449 |
| lib\src\screens\single_player_game_screen                                                                                         |          2 |        617 |         38 |         57 |        712 |
| lib\src\screens\splash_screen                                                                                                     |          2 |        104 |          0 |         12 |        116 |
| lib\src\wrapper                                                                                                                   |          1 |          0 |          0 |          3 |          3 |
| test                                                                                                                              |          1 |         14 |         10 |          7 |         31 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\README.md                                                                   | Markdown   |         10 |          0 |          7 |         17 |
